country,region
Taiwan,Eastern Asia
Hong Kong,Eastern Asia
Macedonia,Central and Eastern Europe
Somaliland Region,Sub-Saharan Africa
Somalia,Sub-Saharan Africa
South Sudan,Sub-Saharan Africa
Gambia,Sub-Saharan Africa
Lesotho,Sub-Saharan Africa
Namibia,Sub-Saharan Africa
Mozambique,Sub-Saharan Africa
Madagascar,Sub-Saharan Africa
Laos,Southeastern Asia
Vietnam,Southeastern Asia
Myanmar,Southeastern Asia
Bhutan,Southern Asia
Bangladesh,Southern Asia
Cambodia,Southeastern Asia
Belarus,Central and Eastern Europe
Serbia,Central and Eastern Europe
Bosnia and Herzegovina,Central and Eastern Europe
Albania,Central and Eastern Europe
Azerbaijan,Central and Eastern Europe
Kazakhstan,Central and Eastern Europe
Kyrgyzstan,Central and Eastern Europe
Mongolia,Eastern Asia
Armenia,Central and Eastern Europe
Georgia,Central and Eastern Europe
Uzbekistan,Central and Eastern Europe
Turkmenistan,Central and Eastern Europe
Tajikistan,Central and Eastern Europe
Ukraine,Central and Eastern Europe
Palestinian Territories,Middle East and Northern Africa
Bahrain,Middle East and Northern Africa
Qatar,Middle East and Northern Africa
Saudi Arabia,Middle East and Northern Africa
United Arab Emirates,Middle East and Northern Africa
Oman,Middle East and Northern Africa
Kuwait,Middle East and Northern Africa
Yemen,Middle East and Northern Africa
Iraq,Middle East and Northern Africa
Iran,Middle East and Northern Africa
Lebanon,Middle East and Northern Africa
Jordan,Middle East and Northern Africa
Algeria,Middle East and Northern Africa
Morocco,Middle East and Northern Africa
Tunisia,Middle East and Northern Africa
